date,name,type,value
08/31/2020 17:50:00,3A-04p,pH,7.65
08/31/2020 17:50:00,3A-05p,pH,8.47
08/31/2020 17:50:00,3A-06p,pH,7.51
08/31/2020 17:50:00,3B-07p,pH,8.47
08/31/2020 17:50:00,3B-01p,pH,8.43
08/31/2020 17:50:00,3B-02p,pH,7.68
08/31/2020 17:50:00,3B-03p,pH,8.26
08/31/2020 17:50:00,3B-04p,pH,7.94
08/31/2020 17:50:00,3B-05p,pH,8.35
08/31/2020 17:50:00,3B-06p,pH,7.81
08/31/2020 17:50:00,3A-07p,pH,8.34
08/31/2020 17:50:00,3A-08p,pH,7.98
08/31/2020 17:50:00,3B-08p,pH,8.1
08/31/2020 19:00:00,3A-01p,pH,8.21
08/31/2020 19:00:00,3A-02p,pH,7.92
08/31/2020 19:00:00,3A-03p,pH,8.19
08/31/2020 19:00:00,3A-04p,pH,7.78
08/31/2020 19:00:00,3A-05p,pH,8.27
08/31/2020 19:00:00,3A-06p,pH,7.57
08/31/2020 19:00:00,3B-07p,pH,8.37
08/31/2020 19:00:00,3B-01p,pH,8.35
08/31/2020 19:00:00,3B-02p,pH,7.88
08/31/2020 19:00:00,3B-03p,pH,8.21
08/31/2020 19:00:00,3B-04p,pH,8.16
08/31/2020 19:00:00,3B-05p,pH,8.22
08/31/2020 19:00:00,3B-06p,pH,7.98
08/31/2020 19:00:00,3A-07p,pH,8.26
08/31/2020 19:00:00,3A-08p,pH,7.98
08/31/2020 19:00:00,3B-08p,pH,8
08/31/2020 20:10:00,3A-01p,pH,8.21
08/31/2020 20:10:00,3A-02p,pH,7.91
08/31/2020 20:10:00,3A-03p,pH,7.99
08/31/2020 20:10:00,3A-04p,pH,8.04
08/31/2020 20:10:00,3A-05p,pH,7.97
08/31/2020 20:10:00,3A-06p,pH,7.57
08/31/2020 20:10:00,3B-07p,pH,7.7
08/31/2020 20:10:00,3B-01p,pH,8.36
08/31/2020 20:10:00,3B-02p,pH,7.82
08/31/2020 20:10:00,3B-03p,pH,8.24
08/31/2020 20:10:00,3B-04p,pH,7.88
08/31/2020 20:10:00,3B-05p,pH,8.2
08/31/2020 20:10:00,3B-06p,pH,7.96
08/31/2020 20:10:00,3A-07p,pH,7.78
08/31/2020 20:10:00,3A-08p,pH,8.03
08/31/2020 20:10:00,3B-08p,pH,8.13
08/31/2020 21:20:00,3A-01p,pH,8.19
08/31/2020 21:20:00,3A-02p,pH,7.82
08/31/2020 21:20:00,3A-03p,pH,7.83
08/31/2020 21:20:00,3A-04p,pH,6.58
08/31/2020 21:20:00,3A-05p,pH,8.24
08/31/2020 21:20:00,3A-06p,pH,7.69
08/31/2020 21:20:00,3B-07p,pH,8.29
08/31/2020 21:20:00,3B-01p,pH,8.37
08/31/2020 21:20:00,3B-02p,pH,7.85
08/31/2020 21:20:00,3B-03p,pH,8.23
08/31/2020 21:20:00,3B-04p,pH,7.79
08/31/2020 21:20:00,3B-05p,pH,8.22
08/31/2020 21:20:00,3B-06p,pH,7.9
08/31/2020 21:20:00,3A-07p,pH,8.19
08/31/2020 21:20:00,3A-08p,pH,7.92
08/31/2020 21:20:00,3B-08p,pH,7.96
08/31/2020 22:30:00,3A-01p,pH,8.19
08/31/2020 22:30:00,3A-02p,pH,7.91
08/31/2020 22:30:00,3A-03p,pH,8.13
08/31/2020 22:30:00,3A-04p,pH,7.05
08/31/2020 22:30:00,3A-05p,pH,8.22
08/31/2020 22:30:00,3A-06p,pH,7.9
08/31/2020 22:30:00,3B-07p,pH,8.32
08/31/2020 22:30:00,3B-01p,pH,8.35
08/31/2020 22:30:00,3B-02p,pH,7.91
08/31/2020 22:30:00,3B-03p,pH,8.18
08/31/2020 22:30:00,3B-04p,pH,7.92
08/31/2020 22:30:00,3B-05p,pH,8.2
08/31/2020 22:30:00,3B-06p,pH,7.93
08/31/2020 22:30:00,3A-07p,pH,8.18
08/31/2020 22:30:00,3A-08p,pH,7.91
08/31/2020 22:30:00,3B-08p,pH,7.95
08/31/2020 23:40:00,3A-01p,pH,8.19
08/31/2020 23:40:00,3A-02p,pH,7.83
08/31/2020 23:40:00,3A-03p,pH,8.13
08/31/2020 23:40:00,3A-04p,pH,7.49
08/31/2020 23:40:00,3A-05p,pH,8.21
08/31/2020 23:40:00,3A-06p,pH,7.87
08/31/2020 23:40:00,3B-07p,pH,8.31
08/31/2020 23:40:00,3B-01p,pH,8.31
08/31/2020 23:40:00,3B-02p,pH,7.77
08/31/2020 23:40:00,3B-03p,pH,8.14
08/31/2020 23:40:00,3B-04p,pH,7.91
08/31/2020 23:40:00,3B-05p,pH,8.15
08/31/2020 23:40:00,3B-06p,pH,7.84
08/31/2020 23:40:00,3A-07p,pH,8.19
08/31/2020 23:40:00,3A-08p,pH,7.91
08/31/2020 23:40:00,3B-08p,pH,7.96
09/01/2020 03:00:00,3A-01p,pH,8.17
09/01/2020 03:00:00,3A-02p,pH,7.86
09/01/2020 03:00:00,3A-03p,pH,8.07
09/01/2020 03:00:00,3A-04p,pH,7.65
09/01/2020 03:00:00,3A-05p,pH,8.19
09/01/2020 03:00:00,3A-06p,pH,7.84
09/01/2020 03:00:00,3B-07p,pH,8.29
09/01/2020 03:00:00,3B-01p,pH,8.28
09/01/2020 03:00:00,3B-02p,pH,7.82
09/01/2020 03:00:00,3B-03p,pH,8.05
09/01/2020 03:00:00,3B-04p,pH,7.81
09/01/2020 03:00:00,3B-05p,pH,8.12
09/01/2020 03:00:00,3B-06p,pH,7.89
09/01/2020 03:00:00,3A-07p,pH,8.18
09/01/2020 03:00:00,3A-08p,pH,7.79
09/01/2020 03:00:00,3B-08p,pH,7.88
09/01/2020 04:10:00,3A-01p,pH,8.14
09/01/2020 04:10:00,3A-02p,pH,7.85
09/01/2020 04:10:00,3A-03p,pH,8.02
09/01/2020 04:10:00,3A-04p,pH,7.21
09/01/2020 04:10:00,3A-05p,pH,8.18
09/01/2020 04:10:00,3A-06p,pH,7.81
09/01/2020 04:10:00,3B-07p,pH,8.28
09/01/2020 04:10:00,3B-01p,pH,8.24
09/01/2020 04:10:00,3B-02p,pH,7.92
09/01/2020 04:10:00,3B-03p,pH,8.01
09/01/2020 04:10:00,3B-04p,pH,7.87
09/01/2020 04:10:00,3B-05p,pH,8.08
09/01/2020 04:10:00,3B-06p,pH,7.9
09/01/2020 04:10:00,3A-07p,pH,8.16
09/01/2020 04:10:00,3A-08p,pH,7.81
09/01/2020 04:10:00,3B-08p,pH,7.96
09/01/2020 05:20:00,3A-01p,pH,8.12
09/01/2020 05:20:00,3A-02p,pH,7.85
09/01/2020 05:20:00,3A-03p,pH,7.99
09/01/2020 05:20:00,3A-04p,pH,7.65
09/01/2020 05:20:00,3A-05p,pH,8.17
09/01/2020 05:20:00,3A-06p,pH,7.81
09/01/2020 05:20:00,3B-07p,pH,8.27
09/01/2020 05:20:00,3B-01p,pH,8.22
09/01/2020 05:20:00,3B-02p,pH,7.86
09/01/2020 05:20:00,3B-03p,pH,7.96
09/01/2020 05:20:00,3B-04p,pH,7.9
09/01/2020 05:20:00,3B-05p,pH,8.1
09/01/2020 05:20:00,3B-06p,pH,7.9
09/01/2020 05:20:00,3A-07p,pH,8.16
09/01/2020 05:20:00,3A-08p,pH,7.9
09/01/2020 05:20:00,3B-08p,pH,7.95
09/01/2020 06:30:00,3A-01p,pH,8.14
09/01/2020 06:30:00,3A-02p,pH,7.83
09/01/2020 06:30:00,3A-03p,pH,8.02
09/01/2020 06:30:00,3A-04p,pH,7.39
09/01/2020 06:30:00,3A-05p,pH,8.17
09/01/2020 06:30:00,3A-06p,pH,7.81
09/01/2020 06:30:00,3B-07p,pH,8.25
09/01/2020 06:30:00,3B-01p,pH,8.25
09/01/2020 06:30:00,3B-02p,pH,7.49
09/01/2020 06:30:00,3B-03p,pH,8.02
09/01/2020 06:30:00,3B-04p,pH,7.79
09/01/2020 06:30:00,3B-05p,pH,8.08
09/01/2020 06:30:00,3B-06p,pH,7.89
09/01/2020 06:30:00,3A-07p,pH,8.17
09/01/2020 06:30:00,3A-08p,pH,7.86
09/01/2020 06:30:00,3B-08p,pH,7.99
09/01/2020 07:40:00,3A-01p,pH,8.14
09/01/2020 07:40:00,3A-02p,pH,7.81
09/01/2020 07:40:00,3A-03p,pH,8.1
09/01/2020 07:40:00,3A-04p,pH,7.68
09/01/2020 07:40:00,3A-05p,pH,8.17
09/01/2020 07:40:00,3A-06p,pH,7.81
09/01/2020 07:40:00,3B-07p,pH,8.25
09/01/2020 07:40:00,3B-01p,pH,8.26
09/01/2020 07:40:00,3B-02p,pH,7.83
09/01/2020 07:40:00,3B-03p,pH,8.06
09/01/2020 07:40:00,3B-04p,pH,7.8
09/01/2020 07:40:00,3B-05p,pH,8.09
09/01/2020 07:40:00,3B-06p,pH,7.84
09/01/2020 07:40:00,3A-07p,pH,8.17
09/01/2020 07:40:00,3A-08p,pH,7.83
09/01/2020 07:40:00,3B-08p,pH,7.97
09/01/2020 08:50:00,3A-01p,pH,8.11
09/01/2020 08:50:00,3A-02p,pH,7.9
09/01/2020 08:50:00,3A-03p,pH,7.96
09/01/2020 08:50:00,3A-04p,pH,7.54
09/01/2020 08:50:00,3A-05p,pH,8.15
09/01/2020 08:50:00,3A-06p,pH,7.8
09/01/2020 08:50:00,3B-07p,pH,8.25
09/01/2020 08:50:00,3B-01p,pH,8.22
09/01/2020 08:50:00,3B-02p,pH,7.6
09/01/2020 08:50:00,3B-03p,pH,7.96
09/01/2020 08:50:00,3B-04p,pH,7.72
09/01/2020 08:50:00,3B-05p,pH,8.07
09/01/2020 08:50:00,3B-06p,pH,7.95
09/01/2020 08:50:00,3A-07p,pH,8.15
09/01/2020 08:50:00,3A-08p,pH,7.89
09/01/2020 08:50:00,3B-08p,pH,7.89
09/01/2020 10:00:00,3A-01p,pH,8.13
09/01/2020 10:00:00,3A-02p,pH,7.81
09/01/2020 10:00:00,3A-03p,pH,8.01
09/01/2020 10:00:00,3A-04p,pH,7.88
09/01/2020 10:00:00,3A-05p,pH,8.18
09/01/2020 10:00:00,3A-06p,pH,7.82
09/01/2020 10:00:00,3B-07p,pH,8.26
09/01/2020 10:00:00,3B-01p,pH,8.25
09/01/2020 10:00:00,3B-02p,pH,7.59
09/01/2020 10:00:00,3B-03p,pH,8.06
09/01/2020 10:00:00,3B-04p,pH,7.7
09/01/2020 10:00:00,3B-05p,pH,8.11
09/01/2020 10:00:00,3B-06p,pH,7.91
09/01/2020 10:00:00,3A-07p,pH,8.17
09/01/2020 10:00:00,3A-08p,pH,7.7
09/01/2020 10:00:00,3B-08p,pH,7.94
09/01/2020 11:10:00,3A-01p,pH,8.13
09/01/2020 11:10:00,3A-02p,pH,7.89
09/01/2020 11:10:00,3A-03p,pH,8.06
09/01/2020 11:10:00,3A-04p,pH,7.56
09/01/2020 11:10:00,3A-05p,pH,8.22
09/01/2020 11:10:00,3A-06p,pH,7.29
09/01/2020 11:10:00,3B-07p,pH,8.36
09/01/2020 11:10:00,3B-01p,pH,8.35
09/01/2020 11:10:00,3B-02p,pH,7.38
09/01/2020 11:10:00,3B-03p,pH,8.32
09/01/2020 11:10:00,3B-04p,pH,7.82
09/01/2020 11:10:00,3B-05p,pH,8.22
09/01/2020 11:10:00,3B-06p,pH,7.9
09/01/2020 11:10:00,3A-07p,pH,8.19
09/01/2020 11:10:00,3A-08p,pH,7.9
09/01/2020 11:10:00,3B-08p,pH,7.96
09/01/2020 12:20:00,3A-01p,pH,8.16
09/01/2020 12:20:00,3A-02p,pH,7.81
09/01/2020 12:20:00,3A-03p,pH,8.16
09/01/2020 12:20:00,3A-04p,pH,7.21
09/01/2020 12:20:00,3A-05p,pH,8.23
09/01/2020 12:20:00,3A-06p,pH,7.77
09/01/2020 12:20:00,3B-07p,pH,8.37
09/01/2020 12:20:00,3B-01p,pH,8.38
09/01/2020 12:20:00,3B-02p,pH,7.69
09/01/2020 12:20:00,3B-03p,pH,8.43
09/01/2020 12:20:00,3B-04p,pH,7.78
09/01/2020 12:20:00,3B-05p,pH,8.29
09/01/2020 12:20:00,3B-06p,pH,7.95
09/01/2020 12:20:00,3A-07p,pH,8.19
09/01/2020 12:20:00,3A-08p,pH,7.84
09/01/2020 12:20:00,3B-08p,pH,7.96
09/01/2020 13:30:00,3A-01p,pH,8.16
09/01/2020 13:30:00,3A-02p,pH,7.82
09/01/2020 13:30:00,3A-03p,pH,8.09
09/01/2020 13:30:00,3A-04p,pH,7.96
09/01/2020 13:30:00,3A-05p,pH,8.23
09/01/2020 13:30:00,3A-06p,pH,7.73
09/01/2020 13:30:00,3B-07p,pH,8.36
09/01/2020 13:30:00,3B-01p,pH,8.37
09/01/2020 13:30:00,3B-02p,pH,7.82
09/01/2020 13:30:00,3B-03p,pH,8.36
09/01/2020 13:30:00,3B-04p,pH,7.82
09/01/2020 13:30:00,3B-05p,pH,8.26
09/01/2020 13:30:00,3B-06p,pH,7.88
09/01/2020 13:30:00,3A-07p,pH,8.19
09/01/2020 13:30:00,3A-08p,pH,7.75
09/01/2020 13:30:00,3B-08p,pH,7.97
09/01/2020 14:40:00,3A-01p,pH,8.17
09/01/2020 14:40:00,3A-02p,pH,7.83
09/01/2020 14:40:00,3A-03p,pH,8.12
09/01/2020 14:40:00,3A-04p,pH,7.66
09/01/2020 14:40:00,3A-05p,pH,8.25
09/01/2020 14:40:00,3A-06p,pH,7.85
09/01/2020 14:40:00,3B-07p,pH,8.38
09/01/2020 14:40:00,3B-01p,pH,8.38
09/01/2020 14:40:00,3B-02p,pH,7.39
09/01/2020 14:40:00,3B-03p,pH,8.41
09/01/2020 14:40:00,3B-04p,pH,7.88
09/01/2020 14:40:00,3B-05p,pH,8.31
09/01/2020 14:40:00,3B-06p,pH,7.91
09/01/2020 14:40:00,3A-07p,pH,8.2
09/01/2020 14:40:00,3A-08p,pH,7.96
09/01/2020 14:40:00,3B-08p,pH,7.96
09/01/2020 15:50:00,3A-01p,pH,8.18
09/01/2020 15:50:00,3A-02p,pH,7.85
09/01/2020 15:50:00,3A-03p,pH,8.15
09/01/2020 15:50:00,3A-04p,pH,7.04
09/01/2020 15:50:00,3A-05p,pH,8.25
09/01/2020 15:50:00,3A-06p,pH,7.57
09/01/2020 15:50:00,3B-07p,pH,8.39
09/01/2020 15:50:00,3B-01p,pH,8.41
09/01/2020 15:50:00,3B-02p,pH,7.93
09/01/2020 15:50:00,3B-03p,pH,8.43
09/01/2020 15:50:00,3B-04p,pH,7.92
09/01/2020 15:50:00,3B-05p,pH,8.33
09/01/2020 15:50:00,3B-06p,pH,7.87
09/01/2020 15:50:00,3A-07p,pH,8.22
09/01/2020 15:50:00,3A-08p,pH,8.01
09/01/2020 15:50:00,3B-08p,pH,7.96
09/01/2020 17:00:00,3A-01p,pH,8.2
09/01/2020 17:00:00,3A-02p,pH,7.88
09/01/2020 17:00:00,3A-03p,pH,8.18
09/01/2020 17:00:00,3A-04p,pH,7.78
09/01/2020 17:00:00,3A-05p,pH,8.27
09/01/2020 17:00:00,3A-06p,pH,7.83
09/01/2020 17:00:00,3B-07p,pH,8.4
09/01/2020 17:00:00,3B-01p,pH,8.43
09/01/2020 17:00:00,3B-02p,pH,7.81
09/01/2020 17:00:00,3B-03p,pH,8.51
09/01/2020 17:00:00,3B-04p,pH,7.9
09/01/2020 17:00:00,3B-05p,pH,8.39
09/01/2020 17:00:00,3B-06p,pH,7.9
