date,value
09/02/2020,27.3
09/02/2020,28
09/02/2020,27.6
09/02/2020,26.6
09/02/2020,27
09/02/2020,27.5
09/02/2020,27.7
09/02/2020,27.5
09/02/2020,27.2
09/02/2020,27.8
09/02/2020,27.7
09/02/2020,28
09/02/2020,27.7
09/02/2020,27.9
09/02/2020,28
09/02/2020,27.3
09/02/2020,28.1
09/02/2020,27.6
09/02/2020,26.6
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,27.9
09/02/2020,27.6
09/02/2020,27.5
09/02/2020,28
09/02/2020,27.9
09/02/2020,28.1
09/02/2020,27.8
09/02/2020,28
09/02/2020,28.2
09/02/2020,27.5
09/02/2020,28.2
09/02/2020,27.8
09/02/2020,26.6
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,28
09/02/2020,27.9
09/02/2020,27.5
09/02/2020,28
09/02/2020,28
09/02/2020,28.2
09/02/2020,27.8
09/02/2020,28.1
09/02/2020,28.2
09/02/2020,27.5
09/02/2020,28.3
09/02/2020,27.9
09/02/2020,26.5
09/02/2020,26.8
09/02/2020,27.6
09/02/2020,27.9
09/02/2020,27.9
09/02/2020,27.3
09/02/2020,28
09/02/2020,27.8
09/02/2020,28.1
09/02/2020,27.7
09/02/2020,28.1
09/02/2020,28.1
09/02/2020,27.4
09/02/2020,28.1
09/02/2020,27.8
09/02/2020,26.5
09/02/2020,26.7
09/02/2020,27.5
09/02/2020,28
09/02/2020,27.9
09/02/2020,27.3
09/02/2020,28.1
09/02/2020,27.9
09/02/2020,28.1
09/02/2020,27.7
09/02/2020,28.1
09/02/2020,28.1
09/02/2020,27.5
09/02/2020,28.1
09/02/2020,27.8
09/02/2020,26.5
09/02/2020,26.7
09/02/2020,27.6
09/02/2020,28
09/02/2020,28
09/02/2020,27.2
09/02/2020,27.8
09/02/2020,27.8
09/02/2020,28
09/02/2020,27.7
09/02/2020,28.1
09/02/2020,28.1
09/02/2020,27.5
09/02/2020,28.2
09/02/2020,27.8
09/02/2020,26.6
09/02/2020,26.7
09/02/2020,27.6
09/02/2020,28
09/02/2020,28
09/02/2020,27.2
09/02/2020,27.7
09/02/2020,28
09/02/2020,28.2
09/02/2020,27.8
09/02/2020,28.2
09/02/2020,28.2
09/02/2020,27.5
09/02/2020,28.2
09/02/2020,27.8
09/02/2020,26.7
09/02/2020,26.8
09/02/2020,27.7
09/02/2020,28.1
09/02/2020,28
09/02/2020,27.2
09/02/2020,27.6
09/02/2020,28.1
09/02/2020,28.2
09/02/2020,27.9
09/02/2020,28.2
09/02/2020,28.2
09/02/2020,27.6
09/02/2020,28.2
09/02/2020,27.8
09/03/2020,26.5
09/03/2020,26.7
09/03/2020,27.6
09/03/2020,28
09/03/2020,27.9
09/03/2020,27.1
09/03/2020,27.5
09/03/2020,27.8
09/03/2020,28
09/03/2020,27.8
09/03/2020,28.1
09/03/2020,28
09/03/2020,27.4
09/03/2020,27.9
09/03/2020,27.5
09/03/2020,26.6
09/03/2020,26.7
09/03/2020,27.6
09/03/2020,28
09/03/2020,27.8
09/03/2020,27.2
09/03/2020,27.5
09/03/2020,27.9
09/03/2020,28.1
09/03/2020,27.8
09/03/2020,28.1
09/03/2020,28.1
09/03/2020,27.5
09/03/2020,27.9
09/03/2020,27.5
09/03/2020,26.6
09/03/2020,26.6
09/03/2020,27.5
09/03/2020,27.8
09/03/2020,27.7
09/03/2020,27.1
09/03/2020,27.3
09/03/2020,27.8
09/03/2020,28
09/03/2020,27.7
09/03/2020,28
09/03/2020,28
09/03/2020,27.4
09/03/2020,27.8
09/03/2020,27.4
09/03/2020,26.6
09/03/2020,26.6
09/03/2020,27.5
09/03/2020,27.8
09/03/2020,27.8
09/03/2020,27.1
09/03/2020,27.3
09/03/2020,27.8
09/03/2020,28
09/03/2020,27.7
09/03/2020,28
09/03/2020,28
09/03/2020,27.5
09/03/2020,28
09/03/2020,27.5
09/03/2020,26.5
09/03/2020,26.5
09/03/2020,27.5
09/03/2020,27.7
09/03/2020,27.7
09/03/2020,27
09/03/2020,27.2
09/03/2020,27.6
09/03/2020,27.9
09/03/2020,27.6
09/03/2020,28
09/03/2020,27.9
09/03/2020,27.3
09/03/2020,27.8
09/03/2020,27.3
09/03/2020,26.6
09/03/2020,26.6
09/03/2020,27.5
09/03/2020,27.8
09/03/2020,27.8
09/03/2020,27.2
09/03/2020,27.3
09/03/2020,27.8
09/03/2020,28
09/03/2020,27.7
09/03/2020,28
09/03/2020,28
09/03/2020,27.5
09/03/2020,27.9
09/03/2020,27.5
09/03/2020,26.4
09/03/2020,26.5
09/03/2020,27.5
09/03/2020,27.7
09/03/2020,27.7
09/03/2020,26.9
09/03/2020,27.3
09/03/2020,27.6
09/03/2020,27.8
09/03/2020,27.6
09/03/2020,28
09/03/2020,27.8
09/03/2020,27.3
09/03/2020,27.8
09/03/2020,27.3
09/03/2020,26.5
09/03/2020,26.5
09/03/2020,27.5
09/03/2020,27.7
09/03/2020,27.6
09/03/2020,27.1
09/03/2020,27.2
09/03/2020,27.8
09/03/2020,28
09/03/2020,27.7
09/03/2020,28
09/03/2020,28
09/03/2020,27.3
09/03/2020,27.8
09/03/2020,27.4
09/03/2020,26.6
09/03/2020,26.7
09/03/2020,27.6
09/03/2020,27.8
09/03/2020,27.7
09/03/2020,27.1
09/03/2020,27.3
09/03/2020,27.9
09/03/2020,28.1
09/03/2020,27.8
09/03/2020,28
09/03/2020,28.1
09/03/2020,27.5
09/03/2020,28.1
09/03/2020,27.7
09/03/2020,26.6
09/03/2020,26.7
09/03/2020,27.6
09/03/2020,27.9
09/03/2020,27.7
09/03/2020,27.2
09/03/2020,27.3
09/03/2020,27.9
09/03/2020,28.1
09/03/2020,27.7
09/03/2020,28
09/03/2020,28.1
09/03/2020,27.5
09/03/2020,28.2
09/03/2020,27.7
09/03/2020,26.7
09/03/2020,26.8
09/03/2020,27.7
09/03/2020,28.1
09/03/2020,27.8
09/03/2020,27.3
09/03/2020,27.4
09/03/2020,28
09/03/2020,28.2
09/03/2020,27.7
09/03/2020,28.1
09/03/2020,28.2
09/03/2020,27.6
09/03/2020,28.3
09/03/2020,27.8
09/03/2020,26.7
09/03/2020,27.2
09/03/2020,27.7
09/03/2020,28
09/03/2020,27.8
09/03/2020,27.2
09/03/2020,27.5
09/03/2020,27.9
09/03/2020,28.1
09/03/2020,27.7
09/03/2020,28
09/03/2020,28.1
09/03/2020,27.6
09/03/2020,28.2
09/03/2020,27.8
09/03/2020,26.7
09/03/2020,27.6
09/03/2020,27.8
09/03/2020,28.1
09/03/2020,27.8
09/03/2020,27.4
09/03/2020,27.6
09/03/2020,28.1
09/03/2020,28.3
09/03/2020,35.6
09/03/2020,27.8
09/03/2020,28.2
09/03/2020,28.3
09/03/2020,27.7
09/03/2020,28.4
09/03/2020,28.1
09/03/2020,26.6
09/03/2020,27.5
09/03/2020,27.7
09/03/2020,28
09/03/2020,27.8
09/03/2020,27.1
09/03/2020,27.6
09/03/2020,28
09/03/2020,28.3
09/03/2020,37.2
09/03/2020,27.7
09/03/2020,28.1
09/03/2020,28.2
09/03/2020,27.6
09/03/2020,28.3
09/03/2020,28.1
09/03/2020,26.6
09/03/2020,27.5
09/03/2020,27.6
09/03/2020,27.9
09/03/2020,27.8
09/03/2020,27.1
09/03/2020,27.5
09/03/2020,27.9
09/03/2020,28.2
09/03/2020,34.1
09/03/2020,27.6
09/03/2020,28.1
09/03/2020,28.2
09/03/2020,27.6
09/03/2020,28.3
09/03/2020,28
09/03/2020,26.5
09/03/2020,27.3
09/03/2020,27.5
09/03/2020,27.8
09/03/2020,27.8
09/03/2020,27.1
09/03/2020,27.3
09/03/2020,27.8
09/03/2020,28
09/03/2020,29.8
09/03/2020,27.6
09/03/2020,27.9
09/03/2020,28
09/03/2020,27.5
09/03/2020,28.1
09/03/2020,27.8
09/03/2020,26.3
09/03/2020,27
09/03/2020,27.2
09/03/2020,27.6
09/03/2020,27.7
09/03/2020,26.9
09/03/2020,27.2
09/03/2020,27.6
09/03/2020,27.8
09/03/2020,30
09/03/2020,27.4
09/03/2020,27.7
09/03/2020,27.7
09/03/2020,27.3
09/03/2020,27.9
09/03/2020,27.6
09/03/2020,26.3
09/03/2020,26.8
09/03/2020,27.1
09/03/2020,27.6
09/03/2020,27.6
09/03/2020,26.9
09/03/2020,27.1
09/03/2020,27.5
09/03/2020,27.8
09/03/2020,30.2
09/03/2020,27.3
09/03/2020,27.7
09/03/2020,27.8
09/03/2020,27.2
09/03/2020,27.9
09/03/2020,27.5
09/03/2020,26.3
09/03/2020,26.7
09/03/2020,27.1
09/03/2020,27.6
09/03/2020,27.6
09/03/2020,26.8
09/03/2020,27
09/03/2020,27.5
09/03/2020,27.8
09/03/2020,27
09/03/2020,27.2
09/03/2020,27.7
09/03/2020,27.7
09/03/2020,27.2
09/03/2020,27.9
09/03/2020,27.5
09/03/2020,26.1
09/03/2020,26.5
09/03/2020,27
09/03/2020,27.4
09/03/2020,27.5
09/03/2020,26.6
09/03/2020,26.9
09/03/2020,27.3
09/03/2020,27.6
09/03/2020,27
09/03/2020,27
09/03/2020,27.6
09/03/2020,27.6
09/03/2020,27.1
09/03/2020,27.7
09/03/2020,27.2
09/04/2020,26.1
09/04/2020,26.4
09/04/2020,26.8
09/04/2020,27.3
09/04/2020,27.5
09/04/2020,26.6
09/04/2020,26.7
09/04/2020,27.3
09/04/2020,27.6
09/04/2020,26.9
09/04/2020,26.9
09/04/2020,27.6
09/04/2020,27.6
09/04/2020,27.1
09/04/2020,27.6
09/04/2020,27.1
09/04/2020,26
09/04/2020,26.3
09/04/2020,26.8
09/04/2020,27.3
09/04/2020,27.4
09/04/2020,26.5
09/04/2020,26.7
09/04/2020,27.2
09/04/2020,27.6
09/04/2020,27
09/04/2020,26.8
09/04/2020,27.5
09/04/2020,27.5
09/04/2020,27
09/04/2020,27.6
09/04/2020,27
09/04/2020,26.2
09/04/2020,26.3
09/04/2020,26.8
09/04/2020,27.2
09/04/2020,27.3
09/04/2020,26.5
09/04/2020,26.6
09/04/2020,27.2
09/04/2020,27.5
09/04/2020,26.8
09/04/2020,26.7
09/04/2020,27.4
09/04/2020,27.5
09/04/2020,27
09/04/2020,27.5
