function	F01-21-GEL	F01-21-WAT	F04-21-GEL	F04-21-SED	F04-21-WAT	F07-20-COR	F07-20-GEL	F07-20-SED	F07-20-WMS	F07-21-COR	F07-21-GEL	F07-21-SED	F07-21-WAT	F09-21-GEL	F09-21-SED	F09-21-WAT	F09-21-WMS	F10-20-GEL	F10-20-SED	F10-20-WAT	F10-20-WMS	SEnd-1A-02-WMS	SEnd-1B-05-WMS	SEnd-1C-04-WMS	SEnd-1C-06-WMS	SEnd-1D-07-WMS	SEnd-2C-04-WMS	SEnd-2C-06-WMS	SEnd-2D-05-WMS	SEnd-2D-07-WMS	SEnd-2D-09-WMS	SEnd1-WAT	SEnd2-WAT	SEnd3-WAT	SSt1-1A-COR	SSt1-1A-GEL	SSt1-WMS	SSt2-1B-COR	SSt2-1B-GEL	SSt2-WMS	SSt3-1C-COR	SSt3-1C-GEL	SSt3-WMS	SSt4-1D-COR	SSt4-1D-GEL	SSt4-WMS	SSt5-2C-COR	SSt5-2C-GEL	SSt5-WMS	SSt6-2D-COR	SSt6-2D-GEL	SSt6-WMS	WEnd1-WAT	WEnd2-WAT	WEnd3-WAT	WSt1-1A-04-GEL	WSt1-1A-COR	WSt1-WMS	WSt2-1A-05-GEL	WSt2-1C-COR	WSt2-WMS	WSt3-1A-06-GEL	WSt3-2C-COR	WSt3-WMS
RXN-12561	8670.0	10966.0	22643.0	14325.93	13390.5	11457.0	5654.79	2509.0	12273.13	5912.25	11728.5	21254.87	8336.5	7889.25	8388.5	12604.5	7147.58	5913.48	3380.0	12745.33	5388.4	12098.32	14021.0	8354.25	8525.5	7244.26	10533.25	9521.18	10792.75	4104.5	12300.5	10554.62	6969.11	8221.0	7267.309999999999	25257.59	8560.93	12850.0	8569.25	8667.93	7270.08	8911.31	5632.1	8551.5	6890.0	6323.5	5152.0	20198.5	9216.5	4162.6	7839.9	6179.97	11936.99	13084.49	18405.0	18552.5	12876.5	13383.0	11337.5	10164.5	10418.0	11606.74	12616.0	8783.5
RXN-12565	4100.5	4770.5	7948.0	6649.5	5040.5	3830.0	4054.5	742.0	2899.24	3681.0	5905.5	7453.16	4594.0	5593.5	2361.5	5773.0	2029.87	3655.84	1522.0	5101.33	1699.4	2488.33	3553.0	1792.25	1427.5	2334.09	3611.75	2215.17	3484.25	794.0	3264.67	4592.74	3661.9	3587.0	2862.04	10502.67	3310.42	3679.5	2051.75	5427.92	2531.2200000000003	4243.54	2021.2	3611.5	4102.0	3579.0	2717.5	7570.5	3946.5	1432.6	2364.4	1816.4	3118.56	5994.66	8980.5	6090.5	4546.0	4370.0	5283.0	4900.0	5323.5	3910.74	5239.5	4932.5
RXN-12570	5896.0	7269.0	6991.0	8773.5	8481.5	6096.0	4205.5	1222.5	4947.74	4386.0	7121.5	10642.16	6723.0	5772.5	3720.5	8791.0	3508.37	4064.84	1738.0	7056.33	2643.4	4569.32	6383.0	3731.75	2331.5	3716.59	5556.25	4093.68	5474.25	893.0	5540.17	6756.24	5818.65	5444.25	4327.54	11196.42	4266.43	5470.0	2842.25	5323.93	3655.72	5664.54	2657.7	3739.5	4700.0	4681.0	3091.0	7154.0	4794.5	2338.6	3804.9	2103.4	3568.56	10478.41	12218.0	8525.0	7073.5	6516.5	6241.0	6097.0	6611.0	5872.24	7525.0	6033.5
RXN-12575	46.0	0.0	471.0	236.0	134.0	0.0	27.0	379.0	793.0	93.0	168.5	490.0	0.0	172.5	113.5	30.5	722.0	229.5	364.5	470.0	398.5	1366.5	354.5	466.5	478.5	262.5	0.0	256.5	196.5	810.0	223.0	613.0	106.5	0.0	331.0	409.0	582.0	139.0	0.0	471.0	0.0	0.0	409.0	0.0	78.5	474.0	0.0	605.0	610.0	0.0	0.0	946.0	6310.75	0.0	245.0	294.0	0.0	0.0	0.0	43.5	0.0	30.0	0.0	0.0
RXN-12579	712.5	113.0	1055.0	2105.0	390.5	264.0	271.5	381.5	385.62	106.0	1370.0	2218.33	360.0	876.5	0.0	867.0	448.67	593.5	340.0	1885.5	0.0	77.0	280.0	0.0	0.0	124.67	343.5	0.0	89.5	103.0	0.0	300.12	657.95	173.5	188.77	827.0	317.5	409.5	467.0	196.0	742.36	1170.77	58.5	156.0	1231.0	366.5	306.5	955.5	547.0	186.5	519.0	0.0	5992.08	149.32999999999998	847.0	407.5	95.0	228.5	321.5	128.0	104.5	1051.62	202.5	212.5
RXN-12581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12587	24018.5	24557.0	22302.0	16357.86	20256.5	9778.5	11627.08	4942.0	12625.9	18264.0	24681.5	22736.75	20320.0	25509.5	8847.0	16881.5	15648.27	20887.45	2969.0	17881.16	18154.3	17418.58	16300.0	19956.0	15644.5	13825.34	12818.16	11338.17	13712.0	13143.5	14490.84	11372.74	11233.9	10566.5	14243.77	28961.25	14110.92	15574.0	22900.5	21370.17	14797.36	19263.27	15032.4	17213.0	19016.0	13133.5	12368.5	23482.5	14057.0	10149.2	15556.3	11743.44	17101.059999999998	20492.66	26096.5	19191.5	18866.5	21468.5	17037.5	14467.0	20199.0	12976.62	21273.0	22419.5
RXN-12588	24018.5	24557.0	22302.0	16357.86	20256.5	9778.5	11627.08	4942.0	12625.9	18264.0	24681.5	22736.75	20320.0	25509.5	8847.0	16881.5	15648.27	20887.45	2969.0	17881.16	18154.3	17418.58	16300.0	19956.0	15644.5	13825.34	12818.16	11338.17	13712.0	13143.5	14490.84	11372.74	11233.9	10566.5	14243.77	28961.25	14110.92	15574.0	22900.5	21370.17	14797.36	19263.27	15032.4	17213.0	19016.0	13133.5	12368.5	23482.5	14057.0	10149.2	15556.3	11743.44	17101.059999999998	20492.66	26096.5	19191.5	18866.5	21468.5	17037.5	14467.0	20199.0	12976.62	21273.0	22419.5
RXN-12609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2641.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12610	8830.5	8713.5	8376.5	7058.360000000001	9050.0	5176.0	4486.58	1930.0	8112.65	6925.5	9386.5	7170.75	6606.0	9051.0	4132.5	8611.0	9322.63	7290.45	1400.5	7194.83	9047.3	10356.58	8448.5	9782.25	8517.5	9629.92	5193.24	6070.17	6769.25	6599.25	6019.75	8816.119999999999	6402.7	5379.25	4984.54	11926.5	7446.42	5568.5	7327.25	11974.42	5547.72	6747.54	8470.3	6238.5	6645.5	7580.25	5070.0	8390.5	9004.5	3904.2	4150.8	8085.94	7227.03	10790.83	12287.0	7533.0	6856.5	7404.0	8051.0	6708.5	7451.0	6025.12	8626.0	7980.0
