ASV.ID,F01.21.GEL,F01.21.WAT,F04.21.GEL,F04.21.SED,F04.21.WAT,F07.20.COR,F07.20.GEL,F07.20.SED,F07.20.WMS,F07.21.COR,F07.21.GEL,F07.21.SED,F07.21.WAT,F09.21.GEL,F09.21.SED,F09.21.WAT,F09.21.WMS,F10.20.GEL,F10.20.SED,F10.20.WAT,F10.20.WMS,SEnd.1A.02.WMS,SEnd.1B.05.WMS,SEnd.1C.04.WMS,SEnd.1C.06.WMS,SEnd.1D.07.WMS,SEnd.2C.04.WMS,SEnd.2C.06.WMS,SEnd.2D.05.WMS,SEnd.2D.07.WMS,SEnd.2D.09.WMS,SEnd1.WAT,SEnd2.WAT,SEnd3.WAT,SSt1.1A.COR,SSt1.1A.GEL,SSt1.WMS,SSt2.1B.COR,SSt2.1B.GEL,SSt2.WMS,SSt3.1C.COR,SSt3.1C.GEL,SSt3.WMS,SSt4.1D.COR,SSt4.1D.GEL,SSt4.WMS,SSt5.2C.COR,SSt5.2C.GEL,SSt5.WMS,SSt6.2D.COR,SSt6.2D.GEL,SSt6.WMS,WEnd1.WAT,WEnd2.WAT,WEnd3.WAT,WSt1.1A.04.GEL,WSt1.1A.COR,WSt1.WMS,WSt2.1A.05.GEL,WSt2.1C.COR,WSt2.WMS,WSt3.1A.06.GEL,WSt3.2C.COR,WSt3.WMS
ASV43,0,0,0,440,0,167,0,0,290,0,0,999,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,375,0,0,0,0,125,0,288,390,0,0,267,0,0,198,0,0,0,0,0,389,0,0,0,0,246,0,445,223,0,190,247,124,0
ASV44,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,543,465,248,324
ASV45,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,123,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,136,0,0,180,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0
ASV46,245,0,200,105,0,417,0,0,327,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288
ASV47,510,0,0,0,306,0,328,0,0,170,682,143,0,165,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,35,0,0,122,0,0,0,0,0,0,0,47,0,0,149,0,0,0,294,0
ASV48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV51,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,99,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,150,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,102,0,116,0,0,0,0,0,0,0,0,0,0,0,0
