"","Experiment_Other","OTU","merged","meanasv","sdasv","n"
"42","Disease","ASV294","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_uncultured_bacterium",1.4115,1.6151,10
"43","Disease","ASV296","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_uncultured_uncultured_bacterium",0.0873,0.276,10
"44","Disease","ASV297","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmatales_Izemoplasmatales_uncultured_bacterium",0.7066,0.8001,10
"45","Disease","ASV298","Deferribacterota_Deferribacteres_Deferribacterales_Deferribacteraceae_uncultured_uncultured_bacterium",0.7028,0.8747,10
"46","Disease","ASV300","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrionaceae_uncultured_bacterium",0.1115,0.3527,10
"47","Disease","ASV306","Firmicutes_Clostridia_Clostridia_Hungateiclostridiaceae_uncultured_uncultured_bacterium",0.1472,0.4655,10
"48","Disease","ASV31","Proteobacteria_Gammaproteobacteria_Chromatiales_Chromatiaceae_Marichromatium_uncultured_bacterium",0.8851,1.3077,10
"49","Disease","ASV323","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_spirochete_endosymbiont",1.332,1.2495,10
"50","Disease","ASV325","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Halodesulfovibrio_uncultured_bacterium",0.7676,0.9727,10
"51","Disease","ASV331","Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Aquimarina_uncultured_bacterium",0.2788,0.8815,10
"52","Disease","ASV338","Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Maritimimonas_Maritimimonas_rapanae",0.2748,0.8691,10
"53","Disease","ASV340","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izimaplasma_uncultured_organism",0.0608,0.1924,10
"54","Disease","ASV35","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptuniibacter_Neptuniibacter_caesariensis",1.079,3.4122,10
"55","Disease","ASV359","Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_uncultured_uncultured_bacterium",0.8697,1.051,10
"56","Disease","ASV360","Patescibacteria_Gracilibacteria_Candidatus_Peribacteria_Candidatus_Peribacteria_Candidatus_Peribacteria_uncultured_organism",0.0815,0.2576,10
"57","Disease","ASV369","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptuniibacter_Neptuniibacter_halophilus",0.2503,0.7915,10
"58","Disease","ASV38","Campilobacterota_Campylobacteria_Campylobacterales_Arcobacteraceae_uncultured_uncultured_bacterium",1.048,2.616,10
"59","Disease","ASV383","Desulfobacterota_Desulfuromonadia_PB19_PB19_PB19_uncultured_bacterium",0.5587,1.7667,10
"60","Disease","ASV395","Planctomycetota_BD7-11_BD7-11_BD7-11_BD7-11_uncultured_Planctomycetia",0.106,0.2849,10
"61","Disease","ASV402","Proteobacteria_Gammaproteobacteria_Gammaproteobacteria_Incertae_Sedis_Unknown_Family_Marinicella_uncultured_bacterium",0.0651,0.206,10
"62","Disease","ASV413","Desulfobacterota_Desulfobulbia_Desulfobulbales_Desulfocapsaceae_Desulfopila_uncultured_bacterium",0.3341,0.7051,10
"63","Disease","ASV416","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptunomonas_Neptunomonas_sp.",0.2288,0.5917,10
"64","Disease","ASV447","Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfococcaceae_Desulfonema_uncultured_bacterium",0.2969,0.939,10
"65","Disease","ASV45","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_uncultured_Alphaproteobacteria",1.6064,2.3034,10
"66","Disease","ASV456","Campilobacterota_Campylobacteria_Campylobacterales_Sulfurimonadaceae_Sulfurimonas_uncultured_bacterium",0.2945,0.9314,10
"67","Disease","ASV461","Verrucomicrobiota_Lentisphaeria_Oligosphaerales_Oligosphaeraceae_Oligosphaeraceae_uncultured_bacterium",0.2791,0.4614,10
"68","Disease","ASV470","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta_2_Spirochaeta_isovalerica",0.5969,1.0468,10
"69","Disease","ASV477","Proteobacteria_Gammaproteobacteria_Francisellales_Francisellaceae_[Caedibacter]_taeniospiralis_group_uncultured_bacterium",0.4343,0.7691,10
"70","Disease","ASV48","Verrucomicrobiota_Kiritimatiellae_Kiritimatiellales_Kiritimatiellaceae_R76-B128_uncultured_bacterium",0.1738,0.368,10
"71","Disease","ASV504","Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_uncultured_uncultured_bacterium",0.3802,0.8686,10
"72","Disease","ASV51","Firmicutes_Clostridia_Lachnospirales_Defluviitaleaceae_Defluviitaleaceae_UCG-011_microbial_mat",0.085,0.2689,10
"73","Disease","ASV522","Bacteroidota_Ignavibacteria_Ignavibacteriales_Melioribacteraceae_IheB3-7_uncultured_bacterium",0.1012,0.2499,10
"74","Disease","ASV526","Bacteroidota_Bacteroidia_Bacteroidales_Williamwhitmaniaceae_Williamwhitmaniaceae_metagenome",0.2208,0.3639,10
"75","Disease","ASV56","Campilobacterota_Campylobacteria_Campylobacterales_Arcobacteraceae_Halarcobacter_uncultured_bacterium",0.771,1.2462,10
"76","Disease","ASV58","Proteobacteria_Alphaproteobacteria_uncultured_uncultured_uncultured_uncultured_Alphaproteobacteria",0.2722,0.8609,10
"77","Disease","ASV585","Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_uncultured_organism",0.0901,0.2237,10
"78","Disease","ASV60","Bacteroidota_Bacteroidia_Bacteroidales_Marinilabiliaceae_uncultured_uncultured_bacterium",1.4546,1.6681,10
"79","Disease","ASV62","Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobacter_uncultured_bacterium",1.7207,2.026,10
"80","Disease","ASV63","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_Desulfovibrio_salexigens",0.7683,1.0336,10
"81","Disease","ASV637","Campilobacterota_Campylobacteria_Campylobacterales_Sulfurovaceae_Sulfurovum_uncultured_bacterium",0.3709,0.8508,10
"82","Disease","ASV652","LCP-89_LCP-89_LCP-89_LCP-89_LCP-89_uncultured_bacterium",0.3119,0.396,10
"83","Disease","ASV669","Bdellovibrionota_Oligoflexia_0319-6G20_0319-6G20_0319-6G20_uncultured_organism",0.2363,0.5035,10
"84","Disease","ASV684","Patescibacteria_Gracilibacteria_JGI_0000069-P22_JGI_0000069-P22_JGI_0000069-P22_bioreactor_metagenome",0.1338,0.4232,10
"85","Disease","ASV7","Bacteroidota_Bacteroidia_Bacteroidales_Marinilabiliaceae_Carboxylicivirga_uncultured_bacterium",1.7328,2.1097,10
"86","Disease","ASV70","Bacteroidota_Bacteroidia_Bacteroidales_Marinilabiliaceae_uncultured_uncultured_organism",0.6512,0.7511,10
"87","Disease","ASV71","Bacteroidota_Bacteroidia_Bacteroidales_Marinilabiliaceae_uncultured_uncultured_Cytophagales",1.1247,1.0517,10
"88","Disease","ASV765","Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_DEV007_DEV007_uncultured_Verrucomicrobia",0.0367,0.1159,10
"89","Disease","ASV78","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Amphritea_uncultured_bacterium",0.4551,1.1981,10
"90","Disease","ASV80","Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_ZOR0006_uncultured_bacterium",1.4218,1.0207,10
"91","Disease","ASV807","Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_Lewinella_Cladosiphon_okamuranus",0.0596,0.1884,10
"92","Disease","ASV821","Bacteroidota_Bacteroidia_Cytophagales_Cyclobacteriaceae_uncultured_uncultured_deep-sea",0.0417,0.1319,10
"93","Disease","ASV838","Proteobacteria_Alphaproteobacteria_Micavibrionales_uncultured_uncultured_uncultured_bacterium",0.0413,0.1305,10
"94","Disease","ASV84","Patescibacteria_Gracilibacteria_Gracilibacteria_Gracilibacteria_Gracilibacteria_uncultured_organism",0.0984,0.3112,10
"95","Disease","ASV842","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta_2_Spirochaeta_perfilievii",0.2002,0.2771,10
"96","Disease","ASV844","Planctomycetota_Planctomycetes_Planctomycetales_Gimesiaceae_uncultured_uncultured_planctomycete",0.0493,0.1559,10
"97","Disease","ASV853","Proteobacteria_Alphaproteobacteria_Micavibrionales_uncultured_uncultured_uncultured_organism",0.0586,0.1854,10
"98","Disease","ASV854","Verrucomicrobiota_Verrucomicrobiae_Opitutales_Puniceicoccaceae_Cerasicoccus_uncultured_organism",0.1838,0.3018,10
"99","Disease","ASV86","Bacteroidota_Bacteroidia_Bacteroidales_uncultured_uncultured_uncultured_bacterium",2.2018,2.2966,10
"100","Disease","ASV91","Bacteroidota_Bacteroidia_Bacteroidales_Prolixibacteraceae_Sunxiuqinia_uncultured_bacterium",1.7444,1.1483,10
"101","Disease","ASV913","Verrucomicrobiota_Verrucomicrobiae_Opitutales_Puniceicoccaceae_Verruc-01_uncultured_bacterium",0.0971,0.2109,10
"102","Disease","ASV93","Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Propionigenium_uncultured_bacterium",0.2016,0.6376,10
"103","Disease","ASV96","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_uncultured_Desulfovibrionales",0.4571,1.4454,10
