"","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV402",0,0,0.00556535903352789,0,0,0,0,0.0047645226314825,0.021283979178716
"ASV132",0.0180567497850387,0,0.0162888557078865,0.0127625631480989,0.0291812371879899,0,0,0,0.0290341237709659
"ASV404",0,0,0,0,0,0.0335187353629977,0,0,0
"ASV579",0,0.0146284376828555,0.0119451608524501,0,0,0,0,0,0
"ASV812",0,0,0,0,0,0,0,0.00623052959501558,0
"ASV1004",0.00343938091143594,0,0,0,0,0,0,0,0
"ASV674",0,0.0114686951433587,0,0,0,0,0,0,0
"ASV224",0,0.00784084259801053,0,0,0.0113348607259134,0,0,0,0
"ASV238",0.0140799656061909,0.00339379754242247,0,0,0,0,0,0,0.0145748987854251
"ASV557",0,0,0,0,0,0,0.00509387279871925,0,0
"ASV881",0,0,0.00461517578390118,0,0,0,0,0,0
"ASV920",0,0.00538326506729081,0,0,0,0,0.0023286275651288,0,0
"ASV94",0,0,0,0,0.0104907753527071,0,0,0,0
"ASV220",0,0,0,0,0,0,0.0401688254984718,0,0
"ASV921",0,0,0,0.00611539484179739,0,0,0,0,0
"ASV327",0,0,0.00203610696348582,0,0,0,0,0,0
"ASV108",0,0,0,0,0,0.0177107728337237,0.0049483335758987,0,0
"ASV981",0,0,0,0,0,0,0,0.00329851566794942,0
"ASV910",0,0,0.00461517578390118,0,0,0,0,0,0
"ASV762",0,0,0,0,0,0,0.0110609809343618,0,0
"ASV6",0,0.067407840842598,0.00529387810506312,0,0.130109731098517,0,0,0.0363752977826645,0
"ASV345",0,0,0.0194108863852314,0,0,0,0,0.00650540590067803,0
"ASV282",0,0,0,0.0695293804839139,0,0,0.0342017173628293,0,0
"ASV249",0,0,0,0,0,0,0.0283801484500073,0,0
"ASV587",0,0.0121708601521358,0,0,0,0,0,0,0.00543666859456333
"ASV125",0,0,0,0,0,0,0,0.00384826827927433,0
"ASV53",0,0.098888238736103,0,0,0,0,0,0,0
"ASV175",0.0104256233877902,0,0.0255192072756889,0,0.0184492945857953,0,0,0.00751328568810702,0
"ASV47",0.00505159071367154,0,0,0.0198085615527785,0,0,0,0.0269378779549203,0
"ASV783",0.00827601031814273,0,0,0,0,0,0,0,0
"ASV568",0,0.00819192510239906,0,0,0,0,0,0.0116364302730438,0
"ASV679",0.00773860705073087,0,0,0,0.00976727360424454,0,0,0.0100787978742899,0
"ASV849",0,0,0,0,0.00735560110936935,0,0,0,0
"ASV259",0.0177343078245916,0.00491515506143944,0.00393647346273924,0,0.0414807669118534,0.0171252927400468,0.00305632367923155,0.00641378046545721,0
"ASV514",0,0.00573434757167934,0,0,0,0,0,0,0
"ASV612",0,0,0,0,0,0,0,0,0.0134181607865818
"ASV19",0.0155846947549441,0,0.0242975430975974,0,0,0,0,0,0.0356275303643725
"ASV775",0,0,0,0,0,0.0108313817330211,0,0,0
"ASV1017",0.0016122098022356,0,0,0,0,0,0,0,0.00115673799884326
"ASV351",0,0,0,0,0.00723501748462559,0.0291276346604215,0,0.0187832142202675,0.00983227299016773
"ASV841",0,0,0,0,0,0.00351288056206089,0.00654926502692476,0,0
"ASV460",0.00462166809974205,0,0,0,0,0,0,0,0
"ASV675",0,0,0.013302565494774,0,0,0,0,0,0
"ASV313",0.0214961306964746,0,0.0298629021311253,0,0,0,0,0,0
"ASV58",0.0271926053310404,0,0,0.0340335017282638,0.00651151573616303,0,0.0555959831174502,0,0
"ASV665",0,0,0,0,0.00494392861449415,0,0,0,0
"ASV270",0,0,0.0261979095968508,0,0,0.0357142857142857,0,0,0
"ASV147",0,0,0.00732998506854893,0,0,0,0,0,0
"ASV1094",0,0,0,0,0,0,0,0.00109950522264981,0
"ASV871",0,0,0,0.0074448285030577,0,0.00439110070257611,0,0,0
"ASV804",0,0,0,0,0,0,0.0181924028525688,0,0
