"","sa1","sa2","sa3","sa4","sa5","sa6","sa7","sa8","sa9","sa10","sa11","sa12","sa13","sa14","sa15","sa16","sa17","sa18","sa19","sa20","sa21","sa35","sa36","sa37","sa38","sa39","sa40","sa41","sa42","sa43","sa44","sa45","sa46","sa47","sa48","sa49","sa50","sa51","sa52","sa56","sa57","sa59","sa60","sa62","sa63"
"COA-PWY",0.00624277199961765,0.00643321172936827,0.00667181687372029,0.00593216073939931,0.00620419748249841,0.00594887459469648,0.00651260518987877,0.00591408869835121,0.0060163830610395,0.00640324140498764,0.00652300492940955,0.0061505648216889,0.00649292073326034,0.0064607746725226,0.00623953715406283,0.00592518430682036,0.00578425207175251,0.00651595208221644,0.00482695489772176,0.00559755380376821,0.0062146362127697,0.00645471404945095,0.00593278483409659,0.00584765966283828,0.00611267968795175,0.0063413708726933,0.00609125182577546,0.00667136014831498,0.00637675173385123,0.00610069312055218,0.00639133153034799,0.00589961674733105,0.00579304395599375,0.00673329645404247,0.00628002610750588,0.00595121453227267,0.00620439642291968,0.00560348867373868,0.00662972239476896,0.006268829199982,0.00608180880078218,0.00597254615669616,0.00640642423218762,0.00578962472994729,0.00674777043899667
"COBALSYN-PWY",0.00116959198323104,0.000701666849853801,0.00159005822213952,0.00217633535499152,0.00127198817207112,0.00166465901559063,0.00138493534166709,0.00174073605500205,0.00385291212064359,0.00193766149141194,0.00188102184433826,0.00131988349667014,0.000846469369447859,0.00209848654053993,0.00198669527935315,0.00142710936824513,0.0041177620043344,0.00141641651451772,0.00222550069750563,0.00213192189996824,0.00318223232641774,0.00112992970067918,0.00226869607721016,0.00237994480241938,0.0019788889699061,0.00161576477267719,0.00318051644390666,0.00155855334405898,0.00142239536340366,0.00387186470150061,0.00175381660848823,0.00144667393208213,0.00300535836926416,0.00138239476552802,0.00250232132859733,0.00370319805163294,0.00248519323201073,0.000956968638847586,0.00410904335222208,0.00181798361331721,0.00197101604458131,0.00216518707950967,0.00217561760627966,0.00210527739029194,0.00115305226358775
"CODH-PWY",0,0,0,0,0,0.000114490137998522,0,0.00106744449738354,0.00207899551518405,0,0,0,0,0.000290279077925889,0.00122817313272358,5.81722911703752e-05,0.000594291091141054,0,0.000154087099213111,0,0.000276649069469125,0.000211383595463866,0.000266624729478395,0.000791844867161974,0,0,0.000610462029528596,0,0,0.000506150463371316,0,0,0.00062950740339448,0.000307497903508618,0.000390448088961014,0.00117047131530773,0.00057090956984867,0,0.000931265176923701,0.00010958815192928,7.88296105520966e-05,0.000204000811102848,0,0.000378995213450114,0
"COLANSYN-PWY",0.00499162115535138,0.00449491112603214,0.00508209098062249,0.00462430603304124,0.00477914650782808,0.00486523938308889,0.00439648104428186,0.00517551335766441,0.00470135489086951,0.00512759883367211,0.0047724552085373,0.00478468301512151,0.00423525099869274,0.00474960324115474,0.00482056894986285,0.00459135713106862,0.0043845427486596,0.00517556157936754,0.0039818641237916,0.00395533448897448,0.00475903244471081,0.0049764810831081,0.0045317538180542,0.00462551688065993,0.0053282066499326,0.00552523177166302,0.00414113706914981,0.00553964320507605,0.00492047965735049,0.00434106534816142,0.00505625193507004,0.00468795463000194,0.00460286828618723,0.00523620368159971,0.00492603946998027,0.00462344669179097,0.00463964471245706,0.00441744706754361,0.00482154660638945,0.00509722948863011,0.00467231561919287,0.00468904096452766,0.00483270510905568,0.00502952653857018,0.00511406872039293
"COMPLETE-ARO-PWY",0.00688452315513877,0.00743517780095547,0.00700537114396148,0.00653802298357609,0.00685874458645249,0.00641442046337548,0.00693773389064918,0.00684189078415172,0.00663614026454882,0.00707960347387811,0.00703393628468204,0.00669957820511243,0.00712282709097159,0.00717432696248867,0.00675247106007216,0.00669106484156102,0.00640597304825386,0.00727465232590854,0.00624584520188259,0.00643368206634867,0.00694816512816536,0.00700917232715612,0.00623265859335407,0.00646210382234584,0.00672149000009887,0.00726874776677755,0.00649170904075192,0.00705244268966116,0.00702061854947808,0.00660657127524971,0.00690435712758392,0.00654969360156317,0.00636336371908143,0.00733614127896753,0.00678505060081179,0.00636113044280691,0.00717776398690902,0.00730015267198583,0.00681510540058653,0.00665465871178105,0.00706192670461006,0.00652275613032688,0.00679225071806546,0.0063001291412486,0.00711300015280084
"CRNFORCAT-PWY",0.00070447844803177,0.00129065665574798,0,0,0.00147455691207714,0.000846033637829988,0.000231623798304803,0.000169546095927014,0,0.000300672695587406,0,0,0.00117540815110742,0,0,0.00216059603993252,0.000763605441302581,0.000163675217280911,0,0.0017151726972406,0.000576814436844659,0,0,0,0,0,0,0.00050913935244078,0,0,0,6.53548014911981e-05,0.000479636809180391,0,0.000117369360372717,0.000164801531267849,0,0,0,0.000613276734642941,0.000255189612992449,0.000666182405474543,0.000485261636803047,0.000649304266255414,0.000217182214872496
"DAPLYSINESYN-PWY",0.00393572774332904,0.00503367936438201,0.00521400270696021,0.00511668885001183,0.00530923895579493,0.0055975123759612,0.00434612781249998,0.00431233600208586,0.00449444258186772,0.00403683735747542,0.00441753202082243,0.00474468187008733,0.00425347434805928,0.00405331354736576,0.00596676029005654,0.00549628510148639,0.00447691096774471,0.0041937329161575,0.00505304274989007,0.00500537512836438,0.00413919019173683,0.00479650450433457,0.00458594043581185,0.00459890696453492,0.00476082405950141,0.00344127059131642,0.00428520969048304,0.00489529542005211,0.00417038839871565,0.00441870810183099,0.00495935116005298,0.00424691348466771,0.00451404166807663,0.00412035387535275,0.00521143391243018,0.00506909647517008,0.00414415805317627,0.00344350304602515,0.00460170069504688,0.00461682054028031,0.00541390575571136,0.00470822011486427,0.00545857220727224,0.0046059702191589,0.0047766226461762
"DENITRIFICATION-PWY",0,0,0.00032663718607605,0,0,0.000438013406724116,0,6.16735658528226e-05,2.11452073785916e-05,0,0,0,0,0,0,0,0.000158495245597193,0.000131237594846739,0,0,6.87677152380715e-05,0,0.000215942481246245,0.000133108952009165,0,1.00975639857419e-05,0,9.61745058598152e-05,1.94840437891531e-05,0,0.000134386202600508,0,0.000255652980591463,6.36962153344595e-05,0.000275557645087336,0,0.000141417988769592,4.83365816124517e-05,0,0,9.93968606253054e-05,0.000215692240241397,0.000433403198979887,0.000361241141890425,0.00013316517792919
"DENOVOPURINE2-PWY",0.00116715100772921,0.00356216738068664,0.000583634782524615,0.00524844956586162,0.00359060655150651,0.00311582136530614,0.000228334738487249,0.0051638509711174,0.00597153285993136,0.00096965980075198,0.00179851902189689,0.0036297369845257,0.00265483690706821,0.00102209422397536,0.00376264739019042,0.00272949030462443,0.00566079448379626,0.00223140556561878,0.00426812496641562,0.0037309980922044,0.00549642722170269,0.00378279574068023,0.00160826217896141,0.00501853068069909,0.00203878977222023,0.000848822931126563,0.00529186944620738,0.00152932258885325,0.000555718274496574,0.00528940522102298,0.00155376743182652,0.00268054657014227,0.004954108023791,0.00376964615441026,0,0.0056992142366715,0.00192058194858611,0.00158104298331298,0.00601670979740498,0.000551612205301467,0.00340296397339898,0,0.00279946284897866,0.00398754799335414,0.00228251373035662
"DHGLUCONATE-PYR-CAT-PWY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219345172320013,0.00171912573945015,0.000226035440813131,0,0,0,0.000303731081544953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTDPRHAMSYN-PWY",0.0070048797034806,0.005956088497072,0.00796573845364384,0.00719392563708017,0.00571438941473711,0.00724059610584149,0.00869621074839589,0.00561918051904776,0.00658446751129799,0.00743236896422766,0.00773400007182251,0.00700556286646754,0.00721078043664743,0.00761399872569489,0.00661444087947732,0.00605815303906174,0.00597740618102048,0.00774913277458952,0.00544896035498444,0.00506243588816906,0.00640291960817508,0.00667498090017744,0.00780027539634126,0.00632544030584661,0.00645534259224339,0.00723491734281616,0.00686331354588844,0.00683372863959184,0.00784355060183983,0.0067472766074704,0.00677319008348346,0.00697900396493316,0.00680032033758988,0.00776149461122137,0.00739993051148411,0.00626868893931099,0.0073587440038154,0.00762913884576794,0.00692896866688485,0.00770557443918748,0.00632687187522464,0.00690485485070019,0.0072669852886985,0.0064258568488511,0.00769816452309946
"ECASYN-PWY",0.000137682955354914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104214743308542,0,0,0,0,0.000242954388899352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENTBACSYN-PWY",0.000326037893498058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91469667601451e-05,0,0,0.0012452877402783,0,0,0,8.33836538008255e-05,0.00063315819017662,0,0,0,0,0,0,0.000492137142627755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAO-PWY",0.00408599091594578,0.00481916704427443,0.00649721623667464,0.00669537127879826,0.00501149668492768,0.00675078182727235,0.00644384879582131,0.00366156505960057,0.00384983148178761,0.00454483219374362,0.00523030541615943,0.00669189252517184,0.00540349709109585,0.00463304574823125,0.0055912578202247,0.00594278519408724,0.00272041235089077,0.00386784462200982,0.00696947245030447,0.00526923479979607,0.00238615052101981,0.00505296556191241,0.00667475576612869,0.00396283869337493,0.00584778311973276,0.00275019116078141,0.00376581307664427,0.00410818239349102,0.00484243775177029,0.00251267433095584,0.0045968605135424,0.00442581115969849,0.00471224725161173,0.00489642281290294,0.00607527479046644,0.00428915164457237,0.00386094180151235,0.00423562699622998,0.00241791212352292,0.00636542232151352,0.00529390220671363,0.00594699298792939,0.00609789632717311,0.00544983253986172,0.00513258496738199
"FASYN-ELONG-PWY",0.0085189207748318,0.00926339174805072,0.0101624265008872,0.0070991256240252,0.00892556954086653,0.00960854144390297,0.00952464292771514,0.0072055667364486,0.00633889275134458,0.00833210263978699,0.00922590933271317,0.00851778892405917,0.00908086643275078,0.00815903273863158,0.00826966628495732,0.00883649054162942,0.00734909931695576,0.0079872196663391,0.00682456384231995,0.00778635285672974,0.00794263348965213,0.00920983212103682,0.0090831334394653,0.00721389933189976,0.00840042418419986,0.00824500713524604,0.00735926065454495,0.00838474052958289,0.00907317544851829,0.00760352579867348,0.00829340490384372,0.00773856787959238,0.00771908330170282,0.00842302342452395,0.00990631653963214,0.00690027256803338,0.0082175207552011,0.00832868129387179,0.0079484415023125,0.00917330813019928,0.00861245239719891,0.00984338855470238,0.00876810812195967,0.00943016276796322,0.00902154378068928
