"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SEnd1.WAT","SEnd2.WAT","SEnd3.WAT","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WEnd1.WAT","WEnd2.WAT","WEnd3.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516795865633075,0.0152628142344107,0,0,0,0,0,0,0,0,0
"ASV611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158816343151894,0,0,0,0,0,0
"ASV978",0,0,0,0.00373948270489249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV329",0,0,0,0,0,0,0,0,0,0,0.0255695025569503,0.0231738969225065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191645133505599,0.00718250081619327,0,0,0,0,0,0,0,0,0
"ASV409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247274660994416,0,0,0,0,0
"ASV560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139724849527085,0,0.0077372064612461,0,0,0,0,0.00366501740883269,0
"ASV314",0,0,0,0,0,0,0,0,0.0175509653030917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088150289017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265453166477057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465230166503428,0,0,0,0,0,0,0,0,0
"ASV271",0.0213626373626374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV219",0,0,0,0.0159966760153734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245068219344747,0,0,0.00593318715335999,0,0,0.0247492510095089,0,0,0.0233178654292343,0,0,0.0199296600234467,0,0,0,0,0,0,0,0,0,0,0,0
"ASV645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121809744779582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297524173839124,0,0,0,0,0,0,0,0,0,0,0.0227333156075512,0,0,0,0,0
"ASV211",0.00474725274725275,0,0.0207385461855888,0,0,0,0,0,0,0,0,0,0,0,0,0.0204778156996587,0,0,0,0,0,0,0,0,0,0,0,0.0294663573085847,0,0,0.0232121922626026,0,0,0,0,0,0,0,0,0,0,0,0
"ASV468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191216642151713,0,0.0104046242774566,0,0,0,0.0235198702351987,0,0,0,0,0,0,0,0,0,0.00799869409076069,0,0,0,0.0138261100771072,0,0.0188817330210773,0.00756803958666861,0,0.0124927703875072
"ASV275",0,0,0,0,0,0,0,0.0361076258190436,0,0.0353934602946461,0,0,0,0,0,0,0,0,0.02103067697923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270107319426022,0,0,0,0
"ASV719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018569878210539,0,0,0,0
"ASV169",0,0.0144051022652298,0.0576658554650302,0.0520411343097538,0.012096300645919,0,0.0345250613389415,0,0.0157958687727825,0,0,0,0,0,0,0.0163064087978764,0,0,0.0119057964717129,0,0,0.0198632787308139,0,0,0.0200599192392862,0,0,0.00498839907192575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959723096286973,0,0,0,0,0,0.035072102545843,0,0,0,0,0,0.0352172079291438,0,0,0,0,0,0,0,0,0,0.0110936934764259,0,0,0.0276708814366868,0
"ASV11",0,0,0,0,0,0,0,0,0,0,0.0939098093909809,0.0650723025583982,0.0898461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131380867661147,0.0369293712316968,0.0403199477636304,0,0,0,0,0,0,0,0,0
"ASV73",0,0,0,0,0,0.0119277885235332,0,0,0,0.0274883219547251,0,0,0,0,0,0,0,0,0,0,0,0.0114794273184574,0,0,0.0183665494333724,0,0,0.030046403712297,0.0221425558835934,0,0.0276670574443142,0,0,0.00767221678093372,0.00451418744625967,0,0,0,0,0.00731850117096019,0,0,0
"ASV1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00456261799874135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104788240430796,0,0
"ASV116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227531285551763,0,0,0,0,0,0,0,0.059367396593674,0,0,0,0,0,0,0,0,0,0.0168952007835455,0,0.00210649502633119,0,0.0146237702738633,0,0,0.00916897103769466,0,0
"ASV1020",0,0,0,0,0,0,0,0,0,0,0,0.000370782350760104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218968112768578,0,0,0,0,0,0.00172826375963839,0,0,0,0,0
"ASV461",0,0,0,0.0153734288978913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118188928478318,0,0,0,0,0,0,0,0,0.00846867749419954,0,0,0.00762016412661196,0,0,0,0,0,0,0,0,0,0,0,0
"ASV317",0,0,0,0,0,0,0,0,0,0,0,0,0,0.033716594157862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228662589736772,0,0,0,0,0
"ASV102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195614789337919,0,0,0.0507843658601436,0,0.022248243559719,0.0416242177266773,0,0
"ASV194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145998088120275,0,0,0,0,0,0,0,0,0,0,0,0.00750293083235639,0,0,0,0,0,0,0,0,0,0,0,0
"ASV453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000782132614930043,0.00505780346820809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100391772771792,0,0,0.0099090538889643,0,0,0,0,0.0154846985523181,0
"ASV1023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304271503803394,0,0,0,0,0,0,0
