"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV579",0.00508776392775375,0,0,0,0,0.0146284376828555,0.0119451608524501,0,0,0,0,0
"ASV21",0,0.0847431077694236,0,0.00840550178298523,0,0,0,0,0,0,0,0
"ASV812",0,0,0,0,0,0,0,0,0,0,0.00623052959501558,0
"ASV1004",0.00228949376748919,0,0,0,0.00343938091143594,0,0,0,0,0,0,0
"ASV418",0.012210633426609,0,0,0,0,0,0,0,0,0,0,0
"ASV674",0,0,0,0,0,0.0114686951433587,0,0,0,0,0,0
"ASV423",0,0.0281954887218045,0,0,0,0,0,0,0,0,0,0
"ASV224",0,0,0,0,0,0.00784084259801053,0,0,0.0113348607259134,0,0,0
"ASV238",0.0223861612821165,0,0.0230152814014163,0.022159959246052,0.0140799656061909,0.00339379754242247,0,0,0,0,0,0.0145748987854251
"ASV557",0,0,0,0,0,0,0,0,0,0.00509387279871925,0,0
"ASV881",0,0,0,0,0,0,0.00461517578390118,0,0,0,0,0
"ASV907",0,0,0,0.00611309220580744,0,0,0,0,0,0,0,0
"ASV920",0,0,0,0,0,0.00538326506729081,0,0,0,0.0023286275651288,0,0
"ASV338",0,0,0.00866567275437943,0,0,0,0,0,0,0,0,0
"ASV94",0,0,0,0,0,0,0,0,0.0104907753527071,0,0,0
"ASV220",0.0172983973543628,0,0,0,0,0,0,0,0,0.0401688254984718,0,0
"ASV921",0,0,0,0,0,0,0,0.00611539484179739,0,0,0,0
"ASV327",0.0273467311116764,0,0,0,0,0,0.00203610696348582,0,0,0,0,0
"ASV142",0,0,0.0109019754006709,0,0,0,0,0,0,0,0,0
"ASV108",0,0,0,0,0,0,0,0,0,0.0049483335758987,0,0
"ASV981",0,0,0,0,0,0,0,0,0,0,0.00329851566794942,0
"ASV825",0,0,0.00456578456951174,0,0,0,0,0,0,0,0,0
"ASV910",0,0,0,0,0,0,0.00461517578390118,0,0,0,0,0
"ASV762",0,0,0,0,0,0,0,0,0,0.0110609809343618,0,0
"ASV6",0,0,0,0,0,0.067407840842598,0.00529387810506312,0,0.130109731098517,0,0.0363752977826645,0
"ASV345",0,0,0,0,0,0,0.0194108863852314,0,0,0,0.00650540590067803,0
"ASV282",0.0164080386670058,0,0,0,0,0,0,0.0695293804839139,0,0.0342017173628293,0,0
"ASV249",0,0,0,0,0,0,0,0,0,0.0283801484500073,0,0
"ASV587",0,0,0,0,0,0.0121708601521358,0,0,0,0,0,0.00543666859456333
"ASV125",0,0,0,0,0,0,0,0,0,0,0.00384826827927433,0
"ASV53",0,0,0,0,0,0.098888238736103,0,0,0,0,0,0
"ASV175",0,0,0,0,0.0104256233877902,0,0.0255192072756889,0,0.0184492945857953,0,0.00751328568810702,0
"ASV47",0.0648689900788603,0,0,0.0389709628120224,0.00505159071367154,0,0,0.0198085615527785,0,0,0.0269378779549203,0
"ASV783",0,0,0,0,0.00827601031814273,0,0,0,0,0,0,0
"ASV410",0,0.0292919799498747,0,0.0101884870096791,0,0,0,0,0,0,0,0
"ASV568",0,0,0,0,0,0.00819192510239906,0,0,0,0,0.0116364302730438,0
"ASV679",0,0,0,0,0.00773860705073087,0,0,0,0.00976727360424454,0,0.0100787978742899,0
"ASV849",0,0,0,0,0,0,0,0,0.00735560110936935,0,0,0
"ASV259",0.0274739252098703,0,0.0248788669399925,0,0.0177343078245916,0.00491515506143944,0.00393647346273924,0,0.0414807669118534,0.00305632367923155,0.00641378046545721,0
"ASV514",0,0,0,0,0,0.00573434757167934,0,0,0,0,0,0
"ASV612",0,0,0,0,0,0,0,0,0,0,0,0.0134181607865818
"ASV662",0,0,0.0093179276928811,0,0,0,0,0,0,0,0,0
"ASV19",0.0370134825744085,0,0.00745434215430488,0,0.0155846947549441,0,0.0242975430975974,0,0,0,0,0.0356275303643725
"ASV613",0,0,0.00913156913902348,0,0,0,0,0,0,0,0,0
"ASV1017",0,0,0,0,0.0016122098022356,0,0,0,0,0,0,0.00115673799884326
"ASV351",0,0,0,0,0,0,0,0,0.00723501748462559,0,0.0187832142202675,0.00983227299016773
"ASV841",0,0,0,0,0,0,0,0,0,0.00654926502692476,0,0
"ASV460",0,0,0,0,0.00462166809974205,0,0,0,0,0,0,0
"ASV675",0,0,0,0,0,0,0.013302565494774,0,0,0,0,0
"ASV313",0,0,0,0,0.0214961306964746,0,0.0298629021311253,0,0,0,0,0
"ASV180",0,0,0.0396943719716735,0.0152827305145186,0,0,0,0,0,0,0,0
"ASV436",0,0.0245927318295739,0,0,0,0,0,0,0,0,0,0
"ASV945",0.00432459933859069,0,0,0,0,0,0,0,0,0,0,0
"ASV58",0.0118290511320275,0,0,0,0.0271926053310404,0,0,0.0340335017282638,0.00651151573616303,0.0555959831174502,0,0
"ASV665",0.00330704655303994,0,0,0,0,0,0,0,0.00494392861449415,0,0,0
"ASV270",0,0,0,0,0,0,0.0261979095968508,0,0,0,0,0
"ASV147",0.00852200457898753,0.0260025062656642,0,0,0,0,0.00732998506854893,0,0,0,0,0
"ASV1094",0,0,0,0,0,0,0,0,0,0,0.00109950522264981,0
"ASV424",0,0,0,0.0229240957717779,0,0,0,0,0,0,0,0
"ASV871",0,0,0,0,0,0,0,0.0074448285030577,0,0,0,0
"ASV476",0,0,0.0149086843086098,0,0,0,0,0,0,0,0,0
"ASV804",0,0,0,0,0,0,0,0,0,0.0181924028525688,0,0
"ASV1057",0,0,0,0,0,0,0,0,0.00265283974436272,0,0,0
"ASV507",0,0,0,0,0,0,0,0,0,0,0.010536925050394,0
"ASV562",0,0,0,0,0,0,0,0,0,0.018774559743851,0,0
"ASV616",0,0,0,0.0368059093224656,0,0,0,0,0,0,0,0
"ASV947",0,0,0,0,0,0,0,0,0,0,0,0.00474262579525737
"ASV177",0,0,0,0,0.0148323301805675,0,0.0404506583412515,0,0,0,0,0
"ASV387",0,0,0,0,0,0.0362785254534816,0,0,0,0,0,0
"ASV384",0,0,0,0,0,0,0.019275145920999,0,0,0,0,0
"ASV346",0.0262019842279318,0,0,0,0,0,0,0,0,0,0,0
"ASV632",0,0,0,0,0.0117153912295787,0,0,0,0,0,0,0
"ASV866",0,0,0,0,0,0,0,0,0.00687326661039431,0,0,0
"ASV42",0.0171712032561689,0,0.0442601565411852,0,0.0299871023215821,0,0,0.0792342462111141,0,0.084121670790278,0,0
"ASV39",0,0.0170739348370927,0,0.0453387671930718,0,0,0,0,0,0,0,0
"ASV280",0,0.0369674185463659,0,0,0,0,0,0,0,0,0,0
"ASV704",0,0,0,0,0.00967325881341359,0,0,0,0,0,0,0
"ASV210",0,0,0,0,0,0,0,0,0.00494392861449415,0,0,0
"ASV1062",0,0,0,0,0,0,0,0,0,0.00305632367923155,0,0
"ASV819",0,0,0,0,0,0,0,0,0.00795851923308815,0,0,0
"ASV354",0,0,0,0,0,0,0,0,0.0018087543711564,0,0,0
"ASV181",0.0101755278555075,0,0,0,0,0,0,0,0,0,0,0
"ASV680",0,0.0150375939849624,0,0,0,0,0,0,0,0,0,0
"ASV736",0,0,0,0,0,0,0,0,0,0,0,0.00647773279352227
"ASV944",0,0,0,0,0,0,0,0,0,0,0.00238226131574125,0
"ASV650",0.0131009921139659,0,0,0,0,0,0,0,0,0,0,0
"ASV226",0,0,0.0379239657100261,0,0,0,0,0,0,0,0,0
"ASV262",0,0,0,0,0,0,0,0,0,0,0,0.0279930595720069
"ASV726",0,0,0,0,0,0,0,0,0,0,0.00778816199376947,0
"ASV43",0,0,0,0,0.0264402407566638,0,0.0604045065834125,0.0296463706461048,0,0.0359481880366759,0.0113615539673813,0
"ASV223",0,0,0,0,0.0225709372312984,0,0,0,0,0,0,0
"ASV961",0,0,0,0,0.00419174548581255,0,0,0,0,0,0,0
"ASV408",0,0,0,0,0.0176268271711092,0,0,0,0,0,0,0
"ASV535",0,0,0,0,0,0,0.0190036649925343,0.00398830098378091,0,0,0.012552684625252,0
"ASV743",0,0,0,0,0,0,0,0,0.00542626311346919,0,0,0
"ASV865",0,0,0,0,0,0,0,0.00757777186918373,0,0,0,0
"ASV349",0.00305265835665225,0,0,0,0,0,0,0.0273863334219622,0,0,0,0
"ASV602",0,0,0,0,0.0106405846947549,0.0139262726740784,0,0,0.0137465332207886,0,0,0
"ASV802",0,0,0,0,0,0,0,0.00704599840467961,0,0,0,0
"ASV417",0,0,0,0,0,0.0214160327677004,0,0,0,0,0,0
"ASV1061",0,0,0,0,0,0,0,0,0.00253225611961896,0,0,0
"ASV787",0,0,0,0,0,0,0,0.00957192236107418,0,0,0,0
"ASV26",0,0.0258458646616541,0,0.053998981151299,0,0,0,0,0,0,0,0
