"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.SED","F04.21.WAT","F07.20.COR","F07.20.GEL","F07.20.SED","F07.20.WMS","F07.21.COR","F07.21.GEL","F07.21.SED","F07.21.WAT","F09.21.GEL","F09.21.SED","F09.21.WAT","F09.21.WMS","F10.20.GEL","F10.20.SED","F10.20.WAT","F10.20.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WSt1.1A.04.GEL","WSt1.1A.COR","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR"
"ASV882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00631948507899356,0,0,0,0
"ASV1093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173410404624277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV405",0,0,0.0173313455087589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108835576360445,0,0,0,0
"ASV704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967325881341359,0,0,0,0,0
"ASV263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03014590618594,0,0
"ASV736",0,0,0,0,0,0,0,0,0,0,0,0.00889035232136977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017609126984127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379928315412186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",0,0,0,0,0,0,0,0.11266149870801,0,0,0,0,0,0,0.0784140969162996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1023",0,0,0,0,0,0,0,0,0,0,0,0,0.00432699737289445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304271503803394,0,0,0,0
"ASV308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347614495524463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267695646931147,0,0
"ASV230",0,0,0,0,0,0,0,0,0.0277662660588479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311693895098882,0,0,0,0,0
"ASV844",0,0,0,0.00757293606455618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492984452028821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340027627244714,0,0,0,0,0,0,0,0,0,0
